pair,dir,signal_time,entry_time,exit_time,entry_ref,fill,sl,tp,exit,sl_dist,sl_pips,r,outcome,quality,bars,year,weekday,session
USDJPY,1,2024-11-11 07:30:00+00:00,2024-11-11 07:45:00+00:00,2024-11-12 02:00:00+00:00,153.529,153.53799999999998,153.30213833447596,153.98272333104808,153.98272333104808,0.22686166552403372,22.68616655240337,1.9603282468230905,win,2,73,2024,Monday,London
USDJPY,1,2024-11-14 08:30:00+00:00,2024-11-14 08:45:00+00:00,2024-11-14 15:00:00+00:00,155.893,155.903,155.6888096741375,156.30138065172497,155.68580967413752,0.20419032586249064,20.419032586249063,-1.0636660916479426,loss,2,21,2024,Thursday,London
USDJPY,-1,2024-12-02 15:45:00+00:00,2024-12-02 16:00:00+00:00,2024-12-03 13:45:00+00:00,149.871,149.86100000000002,150.3691891748574,148.8746216502852,148.8746216502852,0.4981891748574073,49.818917485740734,1.9799273037137652,win,1,87,2024,Monday,NY
USDJPY,1,2024-12-19 15:00:00+00:00,2024-12-19 15:15:00+00:00,2024-12-20 13:30:00+00:00,157.393,157.404,156.37595442394326,159.42709115211352,156.37295442394327,1.017045576056759,101.70455760567589,-1.013765361483846,loss,2,89,2024,Thursday,NY
USDJPY,1,2025-01-08 10:30:00+00:00,2025-01-08 10:45:00+00:00,2025-01-09 02:15:00+00:00,158.305,158.315,158.042440088764,158.83011982247197,158.03944008876402,0.26255991123598854,26.255991123598854,-1.0495125091213955,loss,1,62,2025,Wednesday,London
USDJPY,-1,2025-02-05 08:30:00+00:00,2025-02-05 08:45:00+00:00,2025-02-05 15:15:00+00:00,153.011,153.002,153.41886018188214,152.1952796362357,152.1952796362357,0.40786018188214407,40.786018188214406,1.9779336145086361,win,2,26,2025,Wednesday,London
USDJPY,-1,2025-02-17 10:15:00+00:00,2025-02-17 10:30:00+00:00,2025-02-17 23:30:00+00:00,151.74,151.729,151.95222697793344,151.31554604413316,151.31554604413316,0.2122269779334238,21.22269779334238,1.9481687007603627,win,1,52,2025,Monday,London
USDJPY,-1,2025-02-20 10:00:00+00:00,2025-02-20 10:15:00+00:00,2025-02-20 13:30:00+00:00,150.226,150.21900000000002,150.44657983391056,149.78484033217887,149.78484033217887,0.2205798339105643,22.05798339105643,1.968265458016357,win,2,13,2025,Thursday,London
USDJPY,-1,2025-03-06 14:30:00+00:00,2025-03-06 14:45:00+00:00,2025-03-06 15:00:00+00:00,147.46,147.45000000000002,147.86804842205768,146.64390315588466,147.87104842205767,0.40804842205767355,40.80484220576736,-1.0318589640279037,loss,2,1,2025,Thursday,NY
USDJPY,-1,2025-03-07 07:30:00+00:00,2025-03-07 07:45:00+00:00,2025-03-07 12:00:00+00:00,147.531,147.517,147.77173654660652,147.04952690678698,147.7747365466065,0.2407365466065083,24.07365466065083,-1.0706166148831056,loss,2,17,2025,Friday,London
USDJPY,-1,2025-03-10 14:30:00+00:00,2025-03-10 14:45:00+00:00,2025-03-10 15:30:00+00:00,146.646,146.63500000000002,147.19319268600273,145.5516146279945,147.19619268600272,0.5471926860027386,54.719268600273864,-1.025585137298216,loss,2,3,2025,Monday,NY
USDJPY,-1,2025-04-03 09:30:00+00:00,2025-04-03 09:45:00+00:00,2025-04-03 13:45:00+00:00,146.951,146.942,147.4943047020539,145.86439059589216,145.86439059589216,0.5433047020539196,54.330470205391954,1.9834347099040948,win,2,16,2025,Thursday,London
USDJPY,-1,2025-04-07 07:15:00+00:00,2025-04-07 07:30:00+00:00,2025-04-07 11:15:00+00:00,145.595,145.583,146.4908120755596,143.8033758488808,146.4938120755596,0.8958120755596073,89.58120755596073,-1.0167445833888908,loss,1,15,2025,Monday,London
USDJPY,-1,2025-04-09 07:30:00+00:00,2025-04-09 07:45:00+00:00,2025-04-09 08:45:00+00:00,145.06,145.05100000000002,145.5742613074458,144.03147738510842,145.57726130744578,0.5142613074457959,51.42613074457959,-1.0233344407331941,loss,3,4,2025,Wednesday,London
USDJPY,-1,2025-04-09 09:30:00+00:00,2025-04-09 09:45:00+00:00,2025-04-09 13:15:00+00:00,145.299,145.29600000000002,145.812223939808,144.272552120384,144.272552120384,0.5132239398079991,51.32239398079991,1.9941545984758509,win,1,14,2025,Wednesday,London
USDJPY,-1,2025-04-11 13:45:00+00:00,2025-04-11 14:00:00+00:00,2025-04-11 14:30:00+00:00,142.521,142.517,143.25333350700663,141.05633298598673,143.25633350700662,0.7323335070066297,73.23335070066297,-1.0095584865816156,loss,2,2,2025,Friday,NY
USDJPY,-1,2025-04-21 08:00:00+00:00,2025-04-21 08:15:00+00:00,2025-04-21 11:30:00+00:00,140.671,140.663,140.92001492194404,140.17297015611186,140.92301492194403,0.2490149219440661,24.90149219440661,-1.0441740595867763,loss,1,13,2025,Monday,London
USDJPY,-1,2025-04-21 13:45:00+00:00,2025-04-21 14:00:00+00:00,2025-04-22 01:00:00+00:00,140.78,140.77200000000002,141.08727672681255,140.16544654637494,141.09027672681253,0.30727672681253887,30.727672681253885,-1.035798350607546,loss,3,44,2025,Monday,NY
USDJPY,-1,2025-05-21 15:30:00+00:00,2025-05-21 15:45:00+00:00,2025-05-21 23:00:00+00:00,143.674,143.66400000000002,143.9161104354196,143.18977912916083,143.91911043541958,0.24211043541958352,24.21104354195835,-1.0536945050611073,loss,3,29,2025,Wednesday,NY
USDJPY,-1,2025-05-22 08:15:00+00:00,2025-05-22 08:30:00+00:00,2025-05-22 10:00:00+00:00,143.184,143.173,143.44793040109656,142.65613919780685,143.45093040109654,0.2639304010965673,26.393040109656727,-1.0530442872128656,loss,3,6,2025,Thursday,London
USDJPY,-1,2025-06-12 08:45:00+00:00,2025-06-12 09:00:00+00:00,2025-06-12 13:30:00+00:00,143.878,143.868,144.1544175845791,143.32516483084177,143.32516483084177,0.2764175845791105,27.641758457911045,1.9638228515192913,win,2,18,2025,Thursday,London
USDJPY,-1,2025-06-12 14:30:00+00:00,2025-06-12 14:45:00+00:00,2025-06-12 16:00:00+00:00,143.227,143.21900000000002,143.80233608039825,142.07632783920351,143.80533608039823,0.5753360803982428,57.53360803982428,-1.0191192598113348,loss,2,5,2025,Thursday,NY
USDJPY,1,2025-06-19 15:00:00+00:00,2025-06-19 15:15:00+00:00,2025-06-19 22:00:00+00:00,145.468,145.476,145.3163864110137,145.77122717797258,145.3133864110137,0.1516135889862939,15.16135889862939,-1.0725528633253971,loss,2,27,2025,Thursday,NY
USDJPY,-1,2025-07-01 14:30:00+00:00,2025-07-01 14:45:00+00:00,2025-07-01 15:00:00+00:00,143.107,143.10500000000002,143.31621128444795,142.6885774311041,143.31921128444793,0.209211284447947,20.9211284447947,-1.0238992844633577,loss,2,1,2025,Tuesday,NY
USDJPY,1,2025-07-08 07:30:00+00:00,2025-07-08 07:45:00+00:00,2025-07-08 14:30:00+00:00,146.211,146.227,145.86800264937088,146.89699470125825,146.89699470125825,0.3429973506291233,34.299735062912326,1.9533524093680243,win,2,27,2025,Tuesday,London
USDJPY,1,2025-07-10 07:30:00+00:00,2025-07-10 07:45:00+00:00,2025-07-10 07:45:00+00:00,146.341,146.35299999999998,146.1633117089591,146.6963765820818,146.1603117089591,0.17768829104089995,17.768829104089995,-1.084417492633287,loss,1,0,2025,Thursday,London
USDJPY,1,2025-07-11 07:45:00+00:00,2025-07-11 08:00:00+00:00,2025-07-11 08:15:00+00:00,146.92,146.93099999999998,146.72219314874172,147.31561370251652,146.71919314874174,0.19780685125826816,19.780685125826817,-1.0707761127125874,loss,2,1,2025,Friday,London
USDJPY,1,2025-07-11 09:45:00+00:00,2025-07-11 10:00:00+00:00,2025-07-14 00:00:00+00:00,146.984,146.995,146.7096948248418,147.53261035031645,147.53261035031645,0.27430517515822533,27.430517515822533,1.959898678566075,win,3,56,2025,Friday,London
USDJPY,1,2025-07-17 10:15:00+00:00,2025-07-17 10:30:00+00:00,2025-07-17 13:30:00+00:00,148.694,148.70399999999998,148.50905010658607,149.06389978682782,149.06389978682782,0.18494989341391518,18.494989341391516,1.945931301633077,win,3,12,2025,Thursday,London
USDJPY,1,2025-07-22 09:15:00+00:00,2025-07-22 09:30:00+00:00,2025-07-22 10:00:00+00:00,147.738,147.748,147.58598780735625,148.0420243852875,147.58298780735626,0.152012192643752,15.201219264375199,-1.0855194558665666,loss,2,2,2025,Tuesday,London
USDJPY,1,2025-08-22 10:15:00+00:00,2025-08-22 10:30:00+00:00,2025-08-22 15:00:00+00:00,148.67,148.678,148.40261065167806,149.2047786966438,148.39961065167807,0.2673893483219157,26.738934832191568,-1.0411385123193624,loss,2,18,2025,Friday,London
USDJPY,1,2025-09-03 09:30:00+00:00,2025-09-03 09:45:00+00:00,2025-09-03 10:30:00+00:00,148.756,148.768,148.4981445474658,149.27171090506837,148.49514454746583,0.2578554525341843,25.78554525341843,-1.0581721264862556,loss,3,3,2025,Wednesday,London
USDJPY,1,2025-09-26 08:00:00+00:00,2025-09-26 08:15:00+00:00,2025-09-26 13:30:00+00:00,149.84,149.84799999999998,149.6081897625174,150.3036204749652,149.60518976251743,0.23181023748259594,23.181023748259594,-1.0474526065777765,loss,2,21,2025,Friday,London
USDJPY,1,2025-10-06 08:30:00+00:00,2025-10-06 08:45:00+00:00,2025-10-06 13:00:00+00:00,150.155,150.16299999999998,149.9112989440013,150.64240211199746,149.9082989440013,0.2437010559987262,24.37010559987262,-1.0451372685065898,loss,2,17,2025,Monday,London
USDJPY,1,2025-10-07 07:15:00+00:00,2025-10-07 07:30:00+00:00,2025-10-07 19:00:00+00:00,150.687,150.69899999999998,150.23740390259482,151.5861921948104,151.5861921948104,0.44959609740518497,44.959609740518495,1.9733093768624395,win,1,46,2025,Tuesday,London
USDJPY,1,2025-10-08 08:00:00+00:00,2025-10-08 08:15:00+00:00,2025-10-08 10:00:00+00:00,152.448,152.459,152.24054845741531,152.8629030851694,152.8629030851694,0.20745154258468823,20.745154258468823,1.946975569027179,win,3,7,2025,Wednesday,London
USDJPY,1,2025-10-13 09:15:00+00:00,2025-10-13 09:30:00+00:00,2025-10-14 06:30:00+00:00,152.363,152.374,151.70847599984975,153.6720480003005,151.70547599984977,0.6545240001502475,65.45240001502475,-1.0213895899871765,loss,1,84,2025,Monday,London
USDJPY,1,2025-10-23 09:30:00+00:00,2025-10-23 09:45:00+00:00,2025-10-24 13:30:00+00:00,152.594,152.605,152.3259448265785,153.130110346843,152.32294482657852,0.2680551734214999,26.805517342149994,-1.052228053729651,loss,1,111,2025,Thursday,London
USDJPY,1,2025-10-31 10:15:00+00:00,2025-10-31 10:30:00+00:00,2025-10-31 12:30:00+00:00,154.153,154.16299999999998,153.9885611427991,154.48187771440175,153.98556114279913,0.1644388572008817,16.44388572008817,-1.0790567401237288,loss,2,8,2025,Friday,London
USDJPY,1,2025-11-05 08:00:00+00:00,2025-11-05 08:15:00+00:00,2025-11-05 15:00:00+00:00,153.639,153.648,153.39587861581282,154.12524276837442,154.12524276837442,0.2431213841872019,24.31213841872019,1.9629814545928637,win,1,27,2025,Wednesday,London
USDJPY,1,2025-11-10 08:30:00+00:00,2025-11-10 08:45:00+00:00,2025-11-10 16:15:00+00:00,154.077,154.087,153.92935285503032,154.3722942899394,153.92635285503033,0.14764714496969406,14.764714496969406,-1.0880477573923477,loss,2,30,2025,Monday,London
USDJPY,1,2025-11-18 10:15:00+00:00,2025-11-18 10:30:00+00:00,2025-11-19 10:30:00+00:00,155.281,155.29399999999998,154.8990143554502,156.0449712890996,156.0449712890996,0.38198564454980116,38.198564454980115,1.9659673074486876,win,3,96,2025,Tuesday,London
